Symbol,SecurityName,Exchange,MarketCategory,ETF
A,"Agilent Technologies, Inc. Common Stock",N,,N
AA,"Alcoa Corporation Common Stock ",N,,N
AAAU,"Perth Mint Physical Gold ETF",P,,Y
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,N
AADR,"AdvisorShares Dorsey Wright ADR ETF",P,,Y
AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N
AAMC,"Altisource Asset Management Corp Com",A,,N
AAME,"Atlantic American Corporation - Common Stock",Q,G,N
AAN,"Aaron's, Inc. Common Stock",N,,N
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N
AAON,"AAON, Inc. - Common Stock",Q,Q,N
AAP,"Advance Auto Parts Inc Advance Auto Parts Inc W/I",N,,N
AAPL,"Apple Inc. - Common Stock",Q,Q,N
AAT,"American Assets Trust, Inc. Common Stock",N,,N
AAU,"Almaden Minerals, Ltd. Common Shares",A,,N
AAWW,"Atlas Air Worldwide Holdings - Common Stock",Q,Q,N
AAXJ,"iShares MSCI All Country Asia ex Japan Index Fund",Q,G,Y
AAXN,"Axon Enterprise, Inc. - Common Stock",Q,Q,N
AB,"AllianceBernstein Holding L.P.  Units",N,,N
ABB,"ABB Ltd Common Stock",N,,N
ABBV,"AbbVie Inc. Common Stock",N,,N
ABC,"AmerisourceBergen Corporation Common Stock",N,,N
ABCB,"Ameris Bancorp - Common Stock",Q,Q,N
ABEO,"Abeona Therapeutics Inc. - Common Stock",Q,S,N
ABEQ,"Absolute Core Strategy ETF",P,,Y
ABEV,"Ambev S.A. American Depositary Shares (Each representing 1 Common Share)",N,,N
ABG,"Asbury Automotive Group Inc Common Stock",N,,N
ABIO,"ARCA biopharma, Inc. - Common Stock",Q,S,N
ABM,"ABM Industries Incorporated Common Stock",N,,N
ABMD,"ABIOMED, Inc. - Common Stock",Q,Q,N
ABR,"Arbor Realty Trust Common Stock",N,,N
ABT,"Abbott Laboratories Common Stock",N,,N
ABTX,"Allegiance Bancshares, Inc. - Common Stock",Q,G,N
ABUS,"Arbutus Biopharma Corporation - Common Stock",Q,Q,N
AC,"Associated Capital Group, Inc. Common Stock",N,,N
ACA,"Arcosa, Inc. Common Stock ",N,,N
ACAD,"ACADIA Pharmaceuticals Inc. - Common Stock",Q,Q,N
ACAM,"Acamar Partners Acquisition Corp. - Class A Common Stock",Q,S,N
ACAMU,"Acamar Partners Acquisition Corp. - Units",Q,S,N
ACB,"Aurora Cannabis Inc. Common Shares",N,,N
ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",Q,Q,N
ACC,"American Campus Communities Inc Common Stock",N,,N
ACCO,"Acco Brands Corporation Common Stock",N,,N
ACEL,"Accel Entertainment, Inc. ",N,,N
ACER,"Acer Therapeutics Inc. - Common Stock",Q,S,N
ACES,"ALPS Clean Energy ETF",Z,,Y
ACGL,"Arch Capital Group Ltd. - Common Stock",Q,Q,N
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Q,N
ACGLP,"Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs",Q,Q,N
ACH,"Aluminum Corporation of China Limited American Depositary Shares",N,,N
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Q,N
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Q,S,N
ACIA,"Acacia Communications, Inc. - Common Stock",Q,Q,N
ACIO,"ETF Series Solutions Aptus Collared Income Opportunity ETF",Z,,Y
ACIU,"AC Immune SA - Common Stock",Q,G,N
ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Q,N
ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Q,N
ACM,"AECOM Common Stock",N,,N
ACMR,"ACM Research, Inc. - Class A Common Stock",Q,G,N
ACN,"Accenture plc Class A Ordinary Shares (Ireland)",N,,N
